                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3992,                 2.4127,                 1.7162,                0.56368,                0.42457,                0.45328,                0.21674,                 1.4779,                 2.5741,                 2.0347,             0.00054685,             0.00054685,             0.00054685
                      2,                 1.3785,                 1.8093,                 1.6426,                0.23797,                0.36627,                0.18695,                0.06669,                 1.9878,                 3.2559,                 2.5894,              0.0010479,              0.0010479,              0.0010479
                      3,                 1.4219,                 1.8435,                 1.7172,                0.48649,                0.43238,                0.41427,                0.15604,                 2.1664,                 2.2925,                 2.5292,               0.001494,               0.001494,               0.001494
                      4,                  1.426,                 1.6743,                 1.7011,                0.82258,                0.56196,                0.71157,                 0.3581,                 1.5703,                 1.7905,                 1.9639,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.4188,                 1.5422,                 1.6445,                0.68072,                0.66359,                0.71972,                0.35937,                 1.4998,                 1.6064,                 1.9798,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.3622,                 1.4115,                 1.6234,                0.80304,                0.65791,                0.75801,                0.41932,                 1.4574,                 1.4096,                 1.8531,              0.0012544,              0.0012544,              0.0012544
                      7,                  1.326,                 1.3616,                  1.591,                0.84902,                0.75589,                0.83658,                0.47253,                 1.4351,                 1.1507,                  1.798,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.3162,                 1.2817,                 1.5736,                0.81059,                0.73353,                0.82056,                 0.4783,                 1.3835,                 1.1759,                 1.8026,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.2817,                 1.2595,                 1.5752,                0.86435,                0.71189,                0.86127,                0.53029,                 1.2934,                  1.047,                 1.7001,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.2926,                 1.2466,                 1.5554,                 0.8021,                0.73919,                0.82325,                0.50378,                 1.2927,                 1.0548,                 1.6867,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.2241,                 1.1653,                 1.6589,                 0.8026,                  0.767,                0.83778,                0.48945,                 1.3497,                 1.1563,                 1.7414,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.1841,                 1.0666,                 1.6072,                0.89623,                0.73396,                0.85763,                0.55154,                 1.2152,                0.98249,                 1.5734,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.1375,                 1.0176,                 1.5647,                0.81306,                0.77016,                0.86907,                0.55787,                 1.1931,                0.95658,                  1.585,              0.0006768,              0.0006768,              0.0006768
                     14,                  1.109,                0.98305,                 1.5557,                0.82786,                0.83691,                0.88679,                0.57882,                 1.1927,                0.87734,                  1.576,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.0891,                 0.9293,                 1.5304,                0.85175,                0.84379,                0.89233,                0.59634,                 1.1473,                 0.8531,                 1.5346,             0.00051177,             0.00051177,             0.00051177
                     16,                  1.082,                  0.892,                 1.5443,                0.78061,                0.82619,                0.87293,                0.57314,                 1.1605,                0.87224,                  1.544,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.0625,                0.87643,                 1.5123,                 0.8769,                0.82374,                0.89987,                0.59504,                 1.1288,                0.80414,                 1.5126,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.0368,                0.84131,                  1.479,                0.81675,                0.84875,                0.89361,                0.61574,                 1.0776,                0.76827,                 1.4565,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.0009,                0.81581,                 1.4628,                0.86076,                0.85393,                0.91415,                0.62517,                 1.0646,                0.74053,                 1.4479,              0.0001817,              0.0001817,              0.0001817
                     20,                0.99936,                0.80716,                 1.4566,                0.83607,                0.84977,                0.91004,                 0.6259,                 1.0626,                0.72033,                  1.446,             9.9187e-05,             9.9187e-05,             9.9187e-05
